Gene_ID,L15,S15,R15,L20,S20,R20,L25,S25,R25,L30,S30,R30,Bd,Flwr,YSe,MSe
AhKP_05709,3724.243607,3380.097206,3032.03104,3612.507588,2779.436305,3210.618899,3334.470977,2909.872521,3036.877121,3068.467489,2516.982373,2778.46531,2901.981658,6135.871838,2766.923766,2674.910298
AhKP_05710,758.1649328,1158.826921,619.8565235,794.7320946,962.4370728,820.3475175,657.5995029,1027.052287,666.135809,796.2762856,862.576662,562.884384,1168.901309,288.5366283,814.819875,716.5116998
AhKP_05707,438.1463068,676.9091357,482.1811237,378.7700993,462.8376155,557.1983746,492.6187089,438.0172072,522.9304686,358.8850865,393.1934627,587.7271327,475.0981383,196.6134547,527.8185425,488.3487563
AhKP_05708,704.4705324,503.4187329,607.8019954,885.7543665,469.4668001,618.9985521,813.2856042,416.4432254,623.6361596,906.1848433,846.2502899,810.0043575,845.6975275,510.6842978,458.5423588,515.3680522
AhKP_05705,109.5365767,156.4379273,144.0198883,92.00100603,87.38470605,96.68737448,90.62325304,115.0612365,178.3137464,103.1794624,123.8083222,226.1997641,113.0642204,45.9615868,341.4326197,389.7783618
AhKP_05711,1342.360008,1148.447153,1169.923674,1258.652061,1034.75545,904.0767903,1201.339021,1024.437259,967.3289764,1148.432277,994.5481703,917.8741872,2786.633311,1777.181356,1477.891919,1738.241372
AhKP_05712,19.32998412,33.363539,62.81043585,14.6810116,34.35122927,32.89364286,16.26571208,35.95663641,37.88012228,11.21515895,39.45539937,40.5329057,63.95551862,0,74.22448254,197.6411462
AhKP_05715,1396.054409,1513.221847,1968.060323,1390.781166,1582.567159,1810.147135,1847.320158,1651.390247,1874.6041,1422.082155,1514.271017,1990.034919,1781.046987,1473.324199,2131.892082,1824.803191
AhKP_05714,730.2438446,849.6581265,921.8541746,1034.521951,1156.491386,1036.648139,1173.454943,1145.382309,1061.567329,1377.221519,1302.028179,1240.176163,810.8646111,1611.20896,1022.648426,957.1835766
AhKP_05713,814.0071091,1097.289727,1235.271905,1099.118402,1167.941795,1484.201037,1192.044328,1171.53259,1416.347011,1307.687534,1703.384828,1861.898636,536.1984999,1011.15491,846.9838174,677.9841852
AhKP_05720,4.295552027,0,57.10039623,0,0,1.993554113,0,0,0,0,0,0,0.571031416,0,736.4718101,210.1500795
AhKP_05719,8.591104054,1.482823955,12.05452809,1.957468213,1.20530629,3.987108226,9.29469262,3.922542154,4.619527108,8.972127161,8.163186076,1.307513087,6.281345579,5.106842978,23.91677771,54.03859188
AhKP_05717,408.0774426,620.5618253,638.8899889,271.1093476,615.9115143,528.29184,255.604047,664.8708951,569.1257397,343.1838639,636.7285139,626.9525253,815.4328625,454.5090251,503.9017648,572.9091454
AhKP_05716,85.91104054,89.7108493,148.4610302,122.3417633,112.093485,138.5520109,120.8310041,115.7149935,119.1837994,118.8806849,123.8083222,143.8264396,155.8915766,137.8847604,174.0151757,144.603269
AhKP_05718,852.6670774,1551.033857,1567.723101,854.4348751,1499.401025,1655.646691,762.1647948,1608.242283,1566.01969,652.722251,1546.923761,1570.976974,1057.550183,436.6350746,1129.036851,1209.363672
AhKP_05721,0,0,8.882283857,0,0,0,0,0,0,0,0,0,0,15.32052893,189.6847887,42.53037324
AhKP_05723,1103.956871,1091.358431,982.1268151,920.9887944,799.1180705,817.3571863,927.1455888,770.7795333,902.6555969,807.4914445,904.7531234,838.1158889,1374.472619,2354.254613,893.1679399,1010.221454
AhKP_05724,96.64992061,119.3673284,126.2553205,83.19239907,109.0802193,105.658368,109.2126383,98.71731088,133.0423807,56.07579476,123.8083222,122.2524736,374.5966091,457.0624466,344.7314856,322.7304793
AhKP_05725,5932.157349,2569.733915,801.9433425,6364.707896,3870.238498,505.3659677,5769.680444,3995.762941,557.1149692,4647.56187,2590.451048,487.048625,3149.238261,17.87395042,2274.568031,2449.749499
AhKP_05722,0,18.53529944,74.23051509,9.787341067,6.026531452,13.95487879,4.64734631,16.34392564,17.55420301,11.21515895,13.60531013,17.65142668,97.64637218,15.32052893,174.8398922,359.2565646
AhKP_05731,255.5853456,1032.045473,1150.25576,146.810116,744.8792874,1233.013219,48.79713625,505.3541809,1130.860236,197.3867976,706.1155956,1036.204122,1504.667782,7.660264467,422.254834,532.8805588
AhKP_05726,8.591104054,309.1687947,306.4387931,4.893670533,398.3537289,65.78728573,9.29469262,205.9334631,146.900962,13.45819074,687.0681614,103.2935339,369.4573263,135.3313389,1271.712801,765.5467183
AhKP_05727,620.7072679,473.7622538,688.3769989,834.860193,779.8331698,857.2282686,783.0778532,669.4471943,910.9707457,1016.093401,1036.724632,1282.670339,670.9619141,977.9604303,717.5033312,770.5502917
AhKP_05730,412.3729946,464.1238981,465.6854537,284.811625,489.3543539,475.462656,218.4252766,461.5524601,465.6483325,231.0322744,673.4628513,692.3281797,346.6160697,145.5450249,286.176616,328.7347673
AhKP_05732,1353.098889,1479.858308,1465.576836,1381.972559,1530.136336,1494.168808,1526.653263,1442.187999,1441.292458,2023.214675,2168.686434,1833.133348,3007.62247,2946.648398,1434.181946,2077.984001
AhKP_05728,996.5680703,1118.790674,1297.447892,1131.416627,1286.664465,1407.449204,992.2084372,1370.274726,1395.097187,1244.882644,1552.365885,1476.182275,1281.394498,1703.132133,1962.000488,1476.05413
AhKP_05729,45.10329628,447.8128345,193.5068983,23.48961856,441.7447554,341.8945304,16.26571208,692.3286902,328.9103301,58.31882655,360.5407184,365.4499079,453.3989445,0,151.747831,229.6640155
AhKP_05735,1323.030024,1080.978664,999.2569339,1299.758894,895.5425737,976.8415154,1445.324702,1059.086382,911.8946511,1193.292912,672.1023203,793.0066874,1021.004172,204.2737191,842.860235,802.5731609
AhKP_05734,805.4160051,791.0865802,745.4773952,782.9872853,681.6007072,663.8535196,713.3676586,742.0142242,658.7445656,863.5672393,872.1003791,701.4807713,1683.400615,5489.856202,1189.241154,1238.384397
AhKP_05733,38.65996824,31.13930306,27.28130042,31.31949141,29.53000411,27.90975758,39.50244363,21.57398185,9.239054216,0,0,2.615026174,84.51264961,112.3505455,35.46280832,48.53466123
AhKP_05736,2231.539278,1502.100667,1950.930204,2289.259076,1630.176758,1776.256715,2767.494728,1637.007592,2003.026954,2346.211253,1827.19315,1986.112379,3021.327224,5734.984665,2065.914764,2471.765221
AhKP_05742,2871.57653,818.5188234,399.7027736,2493.814504,792.4888859,305.0137793,1759.020578,883.8794987,314.1278433,1498.345236,627.2047968,262.156374,942.7728683,492.8103474,719.1527641,803.0735183
