Gene_ID	L15	S15	R15	L20	S20	R20	L25	S25	R25	L30	S30	R30	Bd	Flwr	YSe	MSe
g2262	6	44	83	8	81	62	3	113	60	2	16	43	454	2	92	176
g2263	93	1826	3030	405	3423	2932	181	2876	3319	201	1922	6754	2076	108	1311	2335
g2264	68987	24540	3715	139486	34128	215	47604	34124	48	76480	15115	26	17484	24	12936	20006
g2265	319	65	109	1166	119	60	324	46	50	352	6	52	179	1	113	183
g2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
g2267	113582	35265	7160	315417	64354	493	132037	60706	157	191821	24143	196	30974	672	30549	36624
g2268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2269	0	6	0	3	2	3	0	2	4	0	2	2	1	0	12	2
g2270	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
g2271	3	2	0	3	0	0	1	0	5	2	0	2	7	0	1	3
g2272	37	8	8	57	24	2	20	38	2	44	8	0	30	2	26	38
g2273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2274	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g2275	0	0	4	0	2	0	0	0	0	0	0	0	27	2	9	15
g2276	0	0	20	0	4	9	0	4	0	0	6	2	106	20	67	32
g2277	0	10	18	0	20	4	2	18	1	10	14	9	59	23	27	85
g2278	0	0	0	6	4	0	0	0	9	0	0	0	2	0	0	2
g2279	160	1800	3934	730	1631	1656	113	1492	1703	145	419	2254	907	281	759	1675
g2280	1349	4198	4575	1351	3263	2436	701	3370	2842	560	1610	3489	3962	3026	2069	3190
g2281	12	43	35	10	19	33	6	19	23	6	30	81	32	9	34	50
g2282	26	157	526	63	430	378	26	437	390	64	189	396	166	0	282	251
g2283	0	0	6	2	0	0	0	2	1	0	3	2	0	0	3	4
g2284	0	0	0	1	0	3	0	0	4	0	0	2	0	0	0	0
g2285	347	774	960	932	1113	665	377	1046	651	337	497	1123	2265	516	1056	1758
